
0.907160493827 --- {'classify__C': 100.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.907160493827 --- {'classify__C': 100.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.904691358025 --- {'classify__C': 200.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.904691358025 --- {'classify__C': 200.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.903703703704 --- {'classify__C': 300.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.903703703704 --- {'classify__C': 300.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.903209876543 --- {'classify__C': 400.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.903209876543 --- {'classify__C': 400.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.903209876543 --- {'classify__C': 700.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.903209876543 --- {'classify__C': 700.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.902716049383 --- {'classify__C': 200.0, 'classify__tol': 1e-05, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.902716049383 --- {'classify__C': 200.0, 'classify__tol': 1e-08, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.902716049383 --- {'classify__C': 300.0, 'classify__tol': 1e-05, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.902716049383 --- {'classify__C': 300.0, 'classify__tol': 1e-08, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.902716049383 --- {'classify__C': 600.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.902716049383 --- {'classify__C': 600.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.902222222222 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 2}
0.902222222222 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 2}
0.902222222222 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 4}
0.902222222222 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 4}
0.902222222222 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 5}
0.902222222222 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 5}
0.902222222222 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 1000.0, 'classify__degree': 2, 'classify__gamma': 5}
0.902222222222 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 1000.0, 'classify__degree': 2, 'classify__gamma': 5}
0.902222222222 --- {'classify__C': 100.0, 'classify__tol': 1e-05, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.902222222222 --- {'classify__C': 100.0, 'classify__tol': 1e-08, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901728395062 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 100.0, 'classify__degree': 2, 'classify__gamma': 4}
0.901728395062 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 100.0, 'classify__degree': 2, 'classify__gamma': 4}
0.901728395062 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 400.0, 'classify__degree': 2, 'classify__gamma': 2}
0.901728395062 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 400.0, 'classify__degree': 2, 'classify__gamma': 2}
0.901728395062 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 600.0, 'classify__degree': 2, 'classify__gamma': 4}
