
0.911111111111 --- {'classify__C': 67.0, 'classify__tol': 0.1, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.911111111111 --- {'classify__C': 75.0, 'classify__tol': 0.01, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.911111111111 --- {'classify__C': 75.0, 'classify__tol': 0.001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.911111111111 --- {'classify__C': 75.0, 'classify__tol': 0.0001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.911111111111 --- {'classify__C': 76.0, 'classify__tol': 0.01, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.911111111111 --- {'classify__C': 76.0, 'classify__tol': 0.001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.911111111111 --- {'classify__C': 76.0, 'classify__tol': 0.0001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 67.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 71.0, 'classify__tol': 0.1, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 73.0, 'classify__tol': 0.01, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 73.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 73.0, 'classify__tol': 0.01, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 73.0, 'classify__tol': 0.001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 73.0, 'classify__tol': 0.0001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 74.0, 'classify__tol': 0.01, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 74.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 74.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 74.0, 'classify__tol': 0.01, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 74.0, 'classify__tol': 0.001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 74.0, 'classify__tol': 0.0001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 75.0, 'classify__tol': 0.01, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 75.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 75.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 76.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.910617283951 --- {'classify__C': 76.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.91012345679 --- {'classify__C': 62.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.91012345679 --- {'classify__C': 62.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.91012345679 --- {'classify__C': 63.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.91012345679 --- {'classify__C': 63.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.91012345679 --- {'classify__C': 64.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
